,Unnamed: 0,DR Number,Date Reported,Date Occurred,Time Occurred,Area ID,Area Name,Reporting District,Crime Code,Crime Code Description,MO Codes,Victim Age,Victim Sex,Victim Descent,Premise Code,Premise Description,Weapon Used Code,Weapon Description,Status Code,Status Description,Address,Cross Street,Location ,Year
17435,1446982,170406482,02/25/2017,02/19/2017,2145,4,Hollenbeck,464,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,0421 0416 0429,24.0,M,H,108.0,PARKING LOT,511.0,VERBAL THREAT,IC,Invest Cont,CHICAGO,CESAR E CHAVEZ,"(34.0479, -118.2102)",2017
17473,1447020,170406579,02/27/2017,02/27/2017,2300,4,Hollenbeck,466,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) 0114",0329,48.0,F,H,101.0,STREET,208.0,RAZOR,AO,Adult Other,EVERGREEN,NEW JERSEY,"(34.0427, -118.2009)",2017
17474,1447021,170406580,02/28/2017,02/24/2017,700,4,Hollenbeck,478,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,0371 0421 0369,18.0,M,H,101.0,STREET,511.0,VERBAL THREAT,IC,Invest Cont,WHITTIER,LORENA,"(34.0267, -118.1985)",2017
17478,1447025,170406587,02/28/2017,02/28/2017,2140,4,Hollenbeck,467,626,INTIMATE PARTNER - SIMPLE ASSAULT,0416 2000 1814 2004,34.0,F,H,101.0,STREET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,LANFRANCO,SAVANNAH,"(34.0356, -118.2066)",2017
17529,1447076,170406697,03/03/2017,03/03/2017,1715,4,Hollenbeck,466,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1100 0906 0302 0371 0430,28.0,M,H,101.0,STREET,102.0,HAND GUN,IC,Invest Cont,1ST                          ST,SOTO,"(34.0437, -118.2098)",2017
17533,1447080,170406708,03/02/2017,03/02/2017,940,4,Hollenbeck,429,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,2000 1814 1309 1300 0329,28.0,F,H,108.0,PARKING LOT,307.0,VEHICLE,AA,Adult Arrest,HUNTINGTON D,VAN HORNE,"(34.0865, -118.1647)",2017
17547,1447094,170406730,03/04/2017,03/04/2017,800,4,Hollenbeck,448,624,BATTERY - SIMPLE ASSAULT,0361 2002 0369 0401 0416 0444 0429 0417,33.0,F,H,101.0,STREET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,ZONAL,MURCHISON                    ST,"(34.057, -118.1973)",2017
17549,1447096,170406731,03/04/2017,03/04/2017,800,4,Hollenbeck,448,624,BATTERY - SIMPLE ASSAULT,0361 2002 0369 1259 0400,16.0,F,H,101.0,STREET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,ZONAL,MURCHISON                    ST,"(34.057, -118.1973)",2017
17562,1447109,170406749,03/04/2017,03/04/2017,955,4,Hollenbeck,473,850,INDECENT EXPOSURE,1402 0536 0528 0529,45.0,M,H,109.0,PARK/PLAYGROUND,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,4TH                          ST,CUMMINGS,"(34.0428, -118.2167)",2017
17582,1447129,170406776,03/05/2017,03/05/2017,815,4,Hollenbeck,469,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0329 1309 1813 1307 2000,27.0,M,H,101.0,STREET,500.0,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,LORENA                       ST,2ND                          ST,"(34.0354, -118.1961)",2017
17592,1447139,170406798,03/05/2017,03/05/2017,2000,4,Hollenbeck,471,210,ROBBERY,0416 0417 0344 0429,52.0,M,H,101.0,STREET,500.0,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,6TH                          ST,MISSION,"(34.0387, -118.226)",2017
17609,1447156,170406838,03/06/2017,03/06/2017,1355,4,Hollenbeck,499,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0342 1309 0334 0311 0400 0416,56.0,M,W,108.0,PARKING LOT,204.0,FOLDING KNIFE,AA,Adult Arrest,OLYMPIC,MIRASOL,"(34.0188, -118.1995)",2017
17647,1447194,170406926,03/08/2017,03/08/2017,1230,4,Hollenbeck,422,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 0448 1814 0400,25.0,F,H,101.0,STREET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,SICHEL                       ST,MANITOU,"(34.0719, -118.213)",2017
17670,1447217,170406976,03/09/2017,03/09/2017,1040,4,Hollenbeck,453,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 1814 0400 0416 0329 1309 1310 1218,25.0,F,H,101.0,STREET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,CESAR E CHAVEZ               AV,SOTO                         ST,"(34.0517, -118.2178)",2017
17674,1447221,170406984,03/09/2017,03/09/2017,700,4,Hollenbeck,455,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,1309 0421 0422 0913,42.0,M,H,101.0,STREET,511.0,VERBAL THREAT,IC,Invest Cont,CITY VIEW                    ST,CITY VIEW                    ST,"(34.0533, -118.2107)",2017
17676,1447223,170406987,03/09/2017,03/09/2017,130,4,Hollenbeck,406,210,ROBBERY,0906 0371 0344 0355 0334,21.0,M,H,101.0,STREET,102.0,HAND GUN,IC,Invest Cont,VIA MARISOL,MONTEREY                     RD,"(34.0931, -118.1859)",2017
17678,1447225,170406991,03/09/2017,03/09/2017,2350,4,Hollenbeck,453,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,2000 1813 1243 0446 0401 0419,19.0,F,H,122.0,"VEHICLE, PASSENGER/TRUCK",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,MICHIGAN,BOYLE                        ST,"(34.0494, -118.2187)",2017
17680,1447227,170406994,03/09/2017,03/09/2017,745,4,Hollenbeck,428,231,ASSAULT WITH DEADLY WEAPON ON POLICE OFFICER,1212 0416 1309,37.0,M,H,101.0,STREET,307.0,VEHICLE,AA,Adult Arrest,GAMBIER,PUGBUD                       ST,"(34.0808, -118.1738)",2017
17681,1447228,170406995,03/09/2017,03/09/2017,745,4,Hollenbeck,428,231,ASSAULT WITH DEADLY WEAPON ON POLICE OFFICER,1212 0416 1309,30.0,M,H,101.0,STREET,307.0,VEHICLE,AO,Adult Other,GAMBIER,PUGBUD                       ST,"(34.0808, -118.1738)",2017
17705,1447252,170407050,03/10/2017,03/10/2017,1900,4,Hollenbeck,477,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,0421 0369 0913,42.0,M,H,102.0,SIDEWALK,511.0,VERBAL THREAT,AO,Adult Other,WHITTIER,EUCLID,"(34.0307, -118.2074)",2017
17784,1447331,170407195,03/15/2017,03/15/2017,240,4,Hollenbeck,499,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0334 0445,55.0,F,B,102.0,SIDEWALK,215.0,MACHETE,IC,Invest Cont,OLYMPIC                      BL,CALADA                       ST,"(34.0188, -118.1979)",2017
17794,1447341,170407207,03/14/2017,03/14/2017,1255,4,Hollenbeck,445,624,BATTERY - SIMPLE ASSAULT,0416 0429,47.0,M,B,101.0,STREET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,MARENGO,KINGSLEY,"(34.0553, -118.2079)",2017
17820,1447367,170407267,03/16/2017,03/12/2017,5,4,Hollenbeck,487,624,BATTERY - SIMPLE ASSAULT,0400 0416 1218,59.0,M,H,102.0,SIDEWALK,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,GARNET                       ST,ORME                         ST,"(34.0282, -118.2147)",2017
17825,1447372,170407278,03/16/2017,03/16/2017,1800,4,Hollenbeck,489,624,BATTERY - SIMPLE ASSAULT,0446,35.0,M,H,101.0,STREET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,SOTO                         ST,8TH                          ST,"(34.0281, -118.2194)",2017
17835,1447382,170407305,03/17/2017,03/17/2017,1930,4,Hollenbeck,497,210,ROBBERY,0448 0446 0334 0312 0302 0321 0344,35.0,M,H,101.0,STREET,102.0,HAND GUN,IC,Invest Cont,OLYMPIC,VELASCO,"(34.0188, -118.2052)",2017
17874,1447421,170407384,03/18/2017,03/18/2017,220,4,Hollenbeck,464,624,BATTERY - SIMPLE ASSAULT,0342 0400 0416 0417,40.0,F,H,102.0,SIDEWALK,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,1ST                          ST,SOTO                         ST,"(34.0437, -118.2098)",2017
17894,1447441,170407422,03/20/2017,03/20/2017,700,4,Hollenbeck,488,110,CRIMINAL HOMICIDE,1309 1316 0309 1100 0430 1402,31.0,M,H,101.0,STREET,102.0,HAND GUN,IC,Invest Cont,8TH                          ST,FRESNO,"(34.0233, -118.2085)",2017
17911,1447458,170407468,03/21/2017,03/20/2017,2240,4,Hollenbeck,453,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0416 0342,21.0,M,H,102.0,SIDEWALK,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,1ST,BOYLE,"(34.0517, -118.2178)",2017
17950,1447497,170407564,03/22/2017,03/22/2017,2210,4,Hollenbeck,478,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0411 0906,31.0,M,H,102.0,SIDEWALK,207.0,OTHER KNIFE,IC,Invest Cont,E  7TH                          ST,SPENCE                       ST,"(34.0246, -118.1998)",2017
17953,1447500,170407570,03/22/2017,03/21/2017,2010,4,Hollenbeck,449,810,"SEX, UNLAWFUL",1259 2001 0522 0509 0510 0527 0448,15.0,F,H,501.0,SINGLE FAMILY DWELLING,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,EVERGREEN,WABASH,"(34.0501, -118.197)",2017
17962,1447509,170407591,03/23/2017,03/15/2017,1400,4,Hollenbeck,401,210,ROBBERY,0400 0342 0344 0444 0429 0416 0417 0355,49.0,M,H,102.0,SIDEWALK,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,AVENUE 43,MOSHER,"(34.093, -118.2058)",2017
17964,1447511,170407595,03/23/2017,03/23/2017,1345,4,Hollenbeck,438,624,BATTERY - SIMPLE ASSAULT,0305 0446,39.0,F,W,102.0,SIDEWALK,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,VALLEY,EASTERN,"(0, 0)",2017
17965,1447512,170407596,03/23/2017,03/23/2017,1730,4,Hollenbeck,414,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1309 1251 1259 0342 0326 0447 0400,16.0,M,H,101.0,STREET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,GRIFFIN,AVENUE 35,"(0, 0)",2017
17995,1447542,170407655,03/25/2017,03/25/2017,1145,4,Hollenbeck,499,210,ROBBERY,0601 0916 0216 0104 0302 0369 0443 0344 1402,44.0,M,H,101.0,STREET,101.0,REVOLVER,IC,Invest Cont,OLYMPIC                      BL,8TH                          ST,"(34.0188, -118.1979)",2017
17997,1447544,170407662,03/24/2017,03/24/2017,1800,4,Hollenbeck,468,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 0416 1814 2004 1218 0419,31.0,F,H,101.0,STREET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,RIVERA,1ST                          ST,"(34.04, -118.2013)",2017
18026,1447573,170407725,03/26/2017,03/26/2017,400,4,Hollenbeck,415,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) 0114",0329 1407,25.0,F,H,101.0,STREET,109.0,SEMI-AUTOMATIC PISTOL,IC,Invest Cont,SICHEL                       ST,AVENUE 26,"(34.0765, -118.2132)",2017
18064,1447611,170407791,03/27/2017,03/27/2017,2000,4,Hollenbeck,456,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,2000 0416 0408 1814,48.0,F,H,501.0,SINGLE FAMILY DWELLING,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,WINTER,EVERGREEN,"(34.0475, -118.1979)",2017
18073,1447620,170407810,03/28/2017,03/28/2017,800,4,Hollenbeck,421,210,ROBBERY,1251 1259 1309 0448 0400 0344 0422 0409 0342,14.0,F,H,109.0,PARK/PLAYGROUND,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,DALY,N  BROADWAY,"(34.0736, -118.2156)",2017
18087,1447634,170407896,03/29/2017,03/29/2017,1850,4,Hollenbeck,466,901,VIOLATION OF RESTRAINING ORDER,1309 1813,31.0,F,H,501.0,SINGLE FAMILY DWELLING,515.0,PHYSICAL PRESENCE,IC,Invest Cont,MICHIGAN,MOTT,"(34.0436, -118.2051)",2017
18095,1447642,170407867,03/25/2017,03/25/2017,1,4,Hollenbeck,464,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0430,36.0,M,H,101.0,STREET,106.0,UNKNOWN FIREARM,IC,Invest Cont,1ST,BREED                        ST,"(34.0443, -118.211)",2017
18141,1447688,170407980,03/30/2017,03/30/2017,200,4,Hollenbeck,438,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 1813 2004 1218 0446 1243,47.0,F,H,101.0,STREET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,ENDILOTT,ALHAMBRA,"(34.0757, -118.1711)",2017
18149,1447696,170408001,04/01/2017,03/31/2017,1700,4,Hollenbeck,437,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0342 0400 0334 0913 0337 0416 0344 2004 0411,55.0,M,H,102.0,SIDEWALK,201.0,KNIFE WITH BLADE OVER 6 INCHES IN LENGTH,AO,Adult Other,EASTERN,VALLEY,"(34.0666, -118.1803)",2017
18183,1447730,170408071,04/03/2017,04/03/2017,330,4,Hollenbeck,443,624,BATTERY - SIMPLE ASSAULT,1218 0416,32.0,F,H,101.0,STREET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,STATE                        ST,MARENGO,"(34.0578, -118.2102)",2017
18209,1447756,170408149,04/04/2017,04/04/2017,2010,4,Hollenbeck,456,210,ROBBERY,0342 0302 0344 0369 0355 0370,51.0,M,H,101.0,STREET,102.0,HAND GUN,AA,Adult Arrest,WABASH,FOREST,"(0, 0)",2017
18211,1447758,170408155,04/05/2017,04/04/2017,2030,4,Hollenbeck,468,210,ROBBERY,0342 0448 0449 1310 1305 0337 0344 0418,20.0,M,H,102.0,SIDEWALK,109.0,SEMI-AUTOMATIC PISTOL,IC,Invest Cont,E  CESAR E CHAVEZ               AV,EVERGREEN,"(34.0428, -118.1986)",2017
18219,1447766,170408170,04/04/2017,04/04/2017,1700,4,Hollenbeck,497,647,THROWING OBJECT AT MOVING VEHICLE,1202 1218 0913 0329,74.0,M,H,101.0,STREET,306.0,ROCK/THROWN OBJECT,IC,Invest Cont,8TH                          ST,LORENA,"(34.0216, -118.2048)",2017
18238,1447785,170408207,04/06/2017,04/05/2017,2130,4,Hollenbeck,467,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1402 0416 0342,31.0,F,H,101.0,STREET,304.0,CLUB/BAT,JA,Juv Arrest,2ND,SOTO,"(34.0421, -118.2108)",2017
18239,1447786,170408208,04/06/2017,04/05/2017,2130,4,Hollenbeck,467,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0416 0342,28.0,F,W,101.0,STREET,304.0,CLUB/BAT,JA,Juv Arrest,2ND,SOTO,"(34.0421, -118.2108)",2017
18241,1447788,170408210,04/06/2017,04/05/2017,2130,4,Hollenbeck,467,624,BATTERY - SIMPLE ASSAULT,0416,29.0,M,H,101.0,STREET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",JA,Juv Arrest,2ND,SOTO,"(34.0421, -118.2108)",2017
18272,1447819,170408298,04/07/2017,04/07/2017,2210,4,Hollenbeck,452,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1100 1402 0302 0450 1407 0334 1309 0906,32.0,M,H,101.0,STREET,102.0,HAND GUN,IC,Invest Cont,PLEASANT                     AV,BOYLE                        AV,"(34.0476, -118.2198)",2017
18280,1447827,170408312,04/08/2017,04/08/2017,830,4,Hollenbeck,443,761,BRANDISH WEAPON,0421 0345 0334,31.0,M,H,101.0,STREET,511.0,VERBAL THREAT,IC,Invest Cont,CORNWELL,MARENGO,"(34.0556, -118.205)",2017
18298,1447845,170408350,04/08/2017,04/07/2017,1245,4,Hollenbeck,478,210,ROBBERY,1309 0342 1202 0377 0312 0448 1305 0310,65.0,F,H,102.0,SIDEWALK,106.0,UNKNOWN FIREARM,IC,Invest Cont,LORENA,WHITTIER,"(34.0278, -118.201)",2017
18299,1447846,170408351,04/09/2017,04/09/2017,535,4,Hollenbeck,415,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1309 0309 0430 1270 0906 1100,22.0,M,H,102.0,SIDEWALK,106.0,UNKNOWN FIREARM,IC,Invest Cont,DALY                         ST,N  BROADWAY,"(34.0736, -118.2157)",2017
18308,1447855,170408362,04/09/2017,04/08/2017,1145,4,Hollenbeck,467,624,BATTERY - SIMPLE ASSAULT,0416 0417 0429 0602 0562 0319,43.0,F,H,102.0,SIDEWALK,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,6TH                          ST,SOTO,"(34.0375, -118.2137)",2017
18311,1447858,170408368,04/09/2017,04/09/2017,500,4,Hollenbeck,464,810,"SEX, UNLAWFUL",0533 1259,15.0,F,H,101.0,STREET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,BREED                        ST,2ND                          ST,"(34.0429, -118.2119)",2017
18314,1447861,170408377,04/10/2017,04/10/2017,155,4,Hollenbeck,457,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0416,25.0,M,H,101.0,STREET,307.0,VEHICLE,IC,Invest Cont,EVERGREEN,BOULDER,"(34.0458, -118.199)",2017
18318,1447865,170408386,04/07/2017,04/07/2017,2210,4,Hollenbeck,452,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0450 1300 1310,39.0,M,H,101.0,STREET,102.0,HAND GUN,IC,Invest Cont,PLEASANT,BOYLE,"(34.0476, -118.2198)",2017
18335,1447882,170408417,04/10/2017,03/26/2017,2200,4,Hollenbeck,443,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,2000 1813 1243 0416 0419 0417,22.0,F,H,101.0,STREET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,MARENGO,SOTO,"(34.0546, -118.2028)",2017
18370,1447917,170408476,04/11/2017,04/10/2017,1900,4,Hollenbeck,469,624,BATTERY - SIMPLE ASSAULT,0416,20.0,M,H,101.0,STREET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,3RD                          ST,INDIANA,"(34.0332, -118.1924)",2017
18372,1447919,170408478,04/12/2017,04/11/2017,2100,4,Hollenbeck,467,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 1202 0416,62.0,M,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,1ST,MATHEWS,"(34.0432, -118.2085)",2017
18382,1447929,170408494,04/12/2017,04/12/2017,1300,4,Hollenbeck,424,624,BATTERY - SIMPLE ASSAULT,1218 2004 0419 0446 0444 0429,59.0,F,H,101.0,STREET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,VALLEY,SAN PABLO,"(0, 0)",2017
18404,1447951,170408541,04/13/2017,04/10/2017,1200,4,Hollenbeck,443,210,ROBBERY,0334 0312 0446 0417 0355 0429,18.0,M,H,101.0,STREET,102.0,HAND GUN,IC,Invest Cont,CHICAGO                      ST,MARENGO                      ST,"(34.0578, -118.205)",2017
18453,1448000,170408627,04/15/2017,04/15/2017,1,4,Hollenbeck,412,110,CRIMINAL HOMICIDE,1100 0430 0906 1407 0302 1402,35.0,F,H,101.0,STREET,109.0,SEMI-AUTOMATIC PISTOL,IC,Invest Cont,BARRANCA                     ST,AVENUE 28,"(34.0804, -118.2168)",2017
18454,1448001,170408629,04/15/2017,04/15/2017,1700,4,Hollenbeck,497,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,0421 1206,49.0,M,H,102.0,SIDEWALK,511.0,VERBAL THREAT,IC,Invest Cont,OLYMPIC,SOTO,"(34.0234, -118.2177)",2017
18471,1448018,170408660,04/16/2017,04/16/2017,1600,4,Hollenbeck,466,440,THEFT PLAIN - PETTY ($950 & UNDER),0344 0400,51.0,F,H,111.0,CHARTER BUS AND PRIVATELY OWNED BUS,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,CHAVEZ,SAINT LOUIS,"(34.0436, -118.2051)",2017
18472,1448019,170408665,04/15/2017,04/15/2017,2330,4,Hollenbeck,438,624,BATTERY - SIMPLE ASSAULT,0342 0400 0444 0416,45.0,M,B,101.0,STREET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,ALHAMBRA                     BL,GRATIOT                      AV,"(0, 0)",2017
18479,1448026,170408673,04/17/2017,04/17/2017,400,4,Hollenbeck,443,210,ROBBERY,0352 0334 0355 1300,44.0,F,H,101.0,STREET,109.0,SEMI-AUTOMATIC PISTOL,AO,Adult Other,MARENGO                      ST,BRITTANIA                    ST,"(34.0571, -118.2084)",2017
18497,1448044,170408702,04/17/2017,04/17/2017,1015,4,Hollenbeck,499,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,0400 0416 0417 0401 2000 1309,34.0,F,H,101.0,STREET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,INDIANA,BESWICK,"(34.0189, -118.1922)",2017
18524,1448071,170408759,04/18/2017,04/03/2017,2300,4,Hollenbeck,499,815,SEXUAL PENTRATION WITH A FOREIGN OBJECT,1259 2001 0522 0515 0505,14.0,F,H,509.0,MOBILE HOME/TRAILERS/CONSTRUCTION TRAILERS/RV'S/MOTORHOME,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,OLYMPIC,CALADAMIRASOL,"(0, 0)",2017
18546,1448093,170408805,04/19/2017,04/19/2017,945,4,Hollenbeck,497,624,BATTERY - SIMPLE ASSAULT,0305 0416,47.0,F,H,301.0,GAS STATION,500.0,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,OLYMPIC,ORME,"(34.0234, -118.2177)",2017
18557,1448104,170408837,04/19/2017,04/19/2017,955,4,Hollenbeck,411,647,THROWING OBJECT AT MOVING VEHICLE,0447,40.0,F,W,101.0,STREET,306.0,ROCK/THROWN OBJECT,IC,Invest Cont,HARBOR                       FY,AVENUE 19,"(34.0766, -118.2228)",2017
18568,1448115,170408904,04/20/2017,04/20/2017,2200,4,Hollenbeck,403,210,ROBBERY,0344 1202,61.0,M,W,101.0,STREET,109.0,SEMI-AUTOMATIC PISTOL,IC,Invest Cont,GRIFFIN,AVENUE 52,"(34.1019, -118.1979)",2017
18588,1448135,170408897,04/20/2017,04/20/2017,1830,4,Hollenbeck,456,210,ROBBERY,0305 0444 0429 0446,57.0,M,H,101.0,STREET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,EVERGREEN                    AV,MALABAR,"(34.0467, -118.1984)",2017
18589,1448136,170408907,04/20/2017,04/20/2017,2348,4,Hollenbeck,457,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1402 1501 0444,29.0,F,H,501.0,SINGLE FAMILY DWELLING,207.0,OTHER KNIFE,AA,Adult Arrest,MOTT                         ST,CESAR E CHAVEZ,"(34.0452, -118.2041)",2017
18609,1448156,170408950,04/21/2017,04/21/2017,2250,4,Hollenbeck,455,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1206 2002 0416,44.0,M,H,101.0,STREET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,1ST                          ST,SOTO,"(34.0512, -118.2093)",2017
18616,1448163,170408958,04/22/2017,04/22/2017,500,4,Hollenbeck,443,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0416,59.0,M,H,102.0,SIDEWALK,500.0,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,MARENGO,STATE                        ST,"(34.0578, -118.2102)",2017
18640,1448187,170409004,04/23/2017,04/23/2017,2000,4,Hollenbeck,411,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0411 0319 1822 0401,19.0,F,H,101.0,STREET,207.0,OTHER KNIFE,IC,Invest Cont,AVENUE 26,BARRANCA                     AV,"(34.0766, -118.2228)",2017
18643,1448190,170409008,04/23/2017,04/23/2017,2130,4,Hollenbeck,417,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1310 0411,26.0,M,H,108.0,PARKING LOT,500.0,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,MARENGO,MISSION,"(34.0794, -118.1974)",2017
18645,1448192,170409010,04/23/2017,04/23/2017,2105,4,Hollenbeck,455,624,BATTERY - SIMPLE ASSAULT,0416,35.0,M,H,101.0,STREET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,FAIRMOUNT,SOTO,"(34.0512, -118.2093)",2017
18669,1448216,170409051,04/24/2017,04/24/2017,2355,4,Hollenbeck,451,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,2000 1218 2004 0408 0421 1243 1813,43.0,F,H,504.0,OTHER RESIDENCE,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,MISSION                      RD,ALISO                        ST,"(34.0524, -118.2267)",2017
18671,1448218,170409053,04/24/2017,04/24/2017,1930,4,Hollenbeck,497,624,BATTERY - SIMPLE ASSAULT,0416,60.0,M,H,102.0,SIDEWALK,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,OLYMPIC,ORME                         ST,"(34.0234, -118.2177)",2017
18685,1448232,170409090,04/25/2017,04/24/2017,1400,4,Hollenbeck,477,624,BATTERY - SIMPLE ASSAULT,1259 0446 0371 0906,17.0,M,H,102.0,SIDEWALK,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,CAMULOS                      ST,6TH                          ST,"(34.0343, -118.2086)",2017
18724,1448271,170409166,04/26/2017,04/26/2017,2240,4,Hollenbeck,451,624,BATTERY - SIMPLE ASSAULT,0416,57.0,M,H,101.0,STREET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,MISSION                      RD,CESAR E CHAVEZ,"(34.0499, -118.226)",2017
